label,total,correct,accuracy
0,8,4,0.5
1,12,10,0.8333333333333334
2,8,0,0.0
3,11,1,0.09090909090909091
4,13,7,0.5384615384615384
5,9,6,0.6666666666666666
6,8,3,0.375
7,17,14,0.8235294117647058
8,9,3,0.3333333333333333
9,9,7,0.7777777777777778
10,17,0,0.0
11,17,15,0.8823529411764706
12,10,6,0.6
13,10,7,0.7
14,10,8,0.8
15,8,2,0.25
16,17,11,0.6470588235294118
17,16,3,0.1875
18,10,1,0.1
19,11,2,0.18181818181818182
20,8,3,0.375
21,12,5,0.4166666666666667
22,18,8,0.4444444444444444
23,9,4,0.4444444444444444
24,8,4,0.5
25,8,2,0.25
26,8,4,0.5
27,13,8,0.6153846153846154
28,16,10,0.625
29,17,5,0.29411764705882354
30,11,0,0.0
31,9,0,0.0
32,9,2,0.2222222222222222
33,8,1,0.125
34,9,5,0.5555555555555556
35,15,8,0.5333333333333333
36,22,17,0.7727272727272727
37,11,3,0.2727272727272727
38,8,0,0.0
39,13,6,0.46153846153846156
40,25,6,0.24
41,12,5,0.4166666666666667
42,26,6,0.23076923076923078
43,19,15,0.7894736842105263
44,8,2,0.25
45,39,31,0.7948717948717948
46,13,4,0.3076923076923077
47,14,4,0.2857142857142857
48,10,7,0.7
49,18,12,0.6666666666666666
50,52,27,0.5192307692307693
51,17,14,0.8235294117647058
52,19,5,0.2631578947368421
53,12,6,0.5
54,14,12,0.8571428571428571
55,22,19,0.8636363636363636
56,13,9,0.6923076923076923
57,23,22,0.9565217391304348
58,13,13,1.0
59,22,20,0.9090909090909091
60,10,10,1.0
61,11,1,0.09090909090909091
62,11,10,0.9090909090909091
63,11,11,1.0
64,20,11,0.55
65,12,10,0.8333333333333334
66,9,1,0.1111111111111111
67,11,4,0.36363636363636365
68,11,2,0.18181818181818182
69,12,11,0.9166666666666666
70,16,14,0.875
71,19,1,0.05263157894736842
72,39,18,0.46153846153846156
73,34,11,0.3235294117647059
74,24,17,0.7083333333333334
75,21,6,0.2857142857142857
76,50,39,0.78
77,27,19,0.7037037037037037
78,8,2,0.25
79,21,5,0.23809523809523808
80,33,30,0.9090909090909091
81,22,5,0.22727272727272727
82,26,0,0.0
83,17,1,0.058823529411764705
84,13,1,0.07692307692307693
85,12,4,0.3333333333333333
86,13,10,0.7692307692307693
87,31,20,0.6451612903225806
88,37,27,0.7297297297297297
89,16,3,0.1875
90,15,9,0.6
91,13,2,0.15384615384615385
92,9,3,0.3333333333333333
93,32,14,0.4375
94,26,10,0.38461538461538464
95,18,2,0.1111111111111111
96,13,3,0.23076923076923078
97,16,5,0.3125
98,13,4,0.3076923076923077
99,10,6,0.6
100,12,3,0.25
101,10,3,0.3
