label,total,correct,accuracy
0,8,4,0.5
1,12,9,0.75
2,8,0,0.0
3,11,2,0.18181818181818182
4,13,5,0.38461538461538464
5,9,8,0.8888888888888888
6,8,6,0.75
7,17,16,0.9411764705882353
8,9,3,0.3333333333333333
9,9,8,0.8888888888888888
10,17,0,0.0
11,17,8,0.47058823529411764
12,10,5,0.5
13,10,4,0.4
14,10,10,1.0
15,8,0,0.0
16,17,15,0.8823529411764706
17,16,7,0.4375
18,10,0,0.0
19,11,3,0.2727272727272727
20,8,7,0.875
21,12,5,0.4166666666666667
22,18,7,0.3888888888888889
23,9,5,0.5555555555555556
24,8,3,0.375
25,8,2,0.25
26,8,4,0.5
27,13,10,0.7692307692307693
28,16,6,0.375
29,17,7,0.4117647058823529
30,11,1,0.09090909090909091
31,9,1,0.1111111111111111
32,9,2,0.2222222222222222
33,8,1,0.125
34,9,6,0.6666666666666666
35,15,12,0.8
36,22,17,0.7727272727272727
37,11,3,0.2727272727272727
38,8,1,0.125
39,13,6,0.46153846153846156
40,25,12,0.48
41,12,9,0.75
42,26,6,0.23076923076923078
43,19,13,0.6842105263157895
44,8,4,0.5
45,39,35,0.8974358974358975
46,13,5,0.38461538461538464
47,14,7,0.5
48,10,9,0.9
49,18,11,0.6111111111111112
50,52,31,0.5961538461538461
51,17,16,0.9411764705882353
52,19,6,0.3157894736842105
53,12,7,0.5833333333333334
54,14,9,0.6428571428571429
55,22,19,0.8636363636363636
56,13,10,0.7692307692307693
57,23,20,0.8695652173913043
58,13,12,0.9230769230769231
59,22,22,1.0
60,10,10,1.0
61,11,3,0.2727272727272727
62,11,10,0.9090909090909091
63,11,11,1.0
64,20,17,0.85
65,12,10,0.8333333333333334
66,9,2,0.2222222222222222
67,11,6,0.5454545454545454
68,11,6,0.5454545454545454
69,12,11,0.9166666666666666
70,16,14,0.875
71,19,4,0.21052631578947367
72,39,28,0.717948717948718
73,34,16,0.47058823529411764
74,24,16,0.6666666666666666
75,21,8,0.38095238095238093
76,50,45,0.9
77,27,13,0.48148148148148145
78,8,2,0.25
79,21,5,0.23809523809523808
80,33,27,0.8181818181818182
81,22,8,0.36363636363636365
82,26,8,0.3076923076923077
83,17,3,0.17647058823529413
84,13,6,0.46153846153846156
85,12,2,0.16666666666666666
86,13,9,0.6923076923076923
87,31,17,0.5483870967741935
88,37,22,0.5945945945945946
89,16,8,0.5
90,15,8,0.5333333333333333
91,13,9,0.6923076923076923
92,9,1,0.1111111111111111
93,32,20,0.625
94,26,8,0.3076923076923077
95,18,8,0.4444444444444444
96,13,1,0.07692307692307693
97,16,7,0.4375
98,13,4,0.3076923076923077
99,10,6,0.6
100,12,7,0.5833333333333334
101,10,7,0.7
