label,total,correct,accuracy
0,8,4,0.5
1,12,10,0.8333333333333334
2,8,2,0.25
3,11,1,0.09090909090909091
4,13,10,0.7692307692307693
5,9,7,0.7777777777777778
6,8,2,0.25
7,17,10,0.5882352941176471
8,9,6,0.6666666666666666
9,9,6,0.6666666666666666
10,17,1,0.058823529411764705
11,17,12,0.7058823529411765
12,10,5,0.5
13,10,8,0.8
14,10,8,0.8
15,8,2,0.25
16,17,15,0.8823529411764706
17,16,5,0.3125
18,10,2,0.2
19,11,5,0.45454545454545453
20,8,6,0.75
21,12,7,0.5833333333333334
22,18,7,0.3888888888888889
23,9,5,0.5555555555555556
24,8,5,0.625
25,8,5,0.625
26,8,3,0.375
27,13,7,0.5384615384615384
28,16,7,0.4375
29,17,10,0.5882352941176471
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,2,0.2222222222222222
33,8,1,0.125
34,9,5,0.5555555555555556
35,15,9,0.6
36,22,18,0.8181818181818182
37,11,4,0.36363636363636365
38,8,2,0.25
39,13,6,0.46153846153846156
40,25,8,0.32
41,12,6,0.5
42,26,4,0.15384615384615385
43,19,11,0.5789473684210527
44,8,2,0.25
45,39,32,0.8205128205128205
46,13,11,0.8461538461538461
47,14,8,0.5714285714285714
48,10,6,0.6
49,18,10,0.5555555555555556
50,52,19,0.36538461538461536
51,17,13,0.7647058823529411
52,19,6,0.3157894736842105
53,12,7,0.5833333333333334
54,14,5,0.35714285714285715
55,22,19,0.8636363636363636
56,13,10,0.7692307692307693
57,23,21,0.9130434782608695
58,13,13,1.0
59,22,17,0.7727272727272727
60,10,10,1.0
61,11,1,0.09090909090909091
62,11,10,0.9090909090909091
63,11,11,1.0
64,20,15,0.75
65,12,9,0.75
66,9,2,0.2222222222222222
67,11,5,0.45454545454545453
68,11,4,0.36363636363636365
69,12,7,0.5833333333333334
70,16,14,0.875
71,19,0,0.0
72,39,32,0.8205128205128205
73,34,12,0.35294117647058826
74,24,19,0.7916666666666666
75,21,10,0.47619047619047616
76,50,41,0.82
77,27,14,0.5185185185185185
78,8,2,0.25
79,21,7,0.3333333333333333
80,33,30,0.9090909090909091
81,22,8,0.36363636363636365
82,26,8,0.3076923076923077
83,17,5,0.29411764705882354
84,13,2,0.15384615384615385
85,12,7,0.5833333333333334
86,13,8,0.6153846153846154
87,31,20,0.6451612903225806
88,37,20,0.5405405405405406
89,16,5,0.3125
90,15,8,0.5333333333333333
91,13,4,0.3076923076923077
92,9,2,0.2222222222222222
93,32,17,0.53125
94,26,7,0.2692307692307692
95,18,4,0.2222222222222222
96,13,3,0.23076923076923078
97,16,9,0.5625
98,13,3,0.23076923076923078
99,10,7,0.7
100,12,2,0.16666666666666666
101,10,4,0.4
