label,total,correct,accuracy
0,8,1,0.125
1,12,11,0.9166666666666666
2,8,1,0.125
3,11,3,0.2727272727272727
4,13,4,0.3076923076923077
5,9,6,0.6666666666666666
6,8,5,0.625
7,17,15,0.8823529411764706
8,9,6,0.6666666666666666
9,9,6,0.6666666666666666
10,17,3,0.17647058823529413
11,17,15,0.8823529411764706
12,10,4,0.4
13,10,7,0.7
14,10,10,1.0
15,8,3,0.375
16,17,16,0.9411764705882353
17,16,6,0.375
18,10,2,0.2
19,11,3,0.2727272727272727
20,8,6,0.75
21,12,9,0.75
22,18,7,0.3888888888888889
23,9,4,0.4444444444444444
24,8,4,0.5
25,8,1,0.125
26,8,3,0.375
27,13,9,0.6923076923076923
28,16,10,0.625
29,17,9,0.5294117647058824
30,11,2,0.18181818181818182
31,9,2,0.2222222222222222
32,9,1,0.1111111111111111
33,8,0,0.0
34,9,6,0.6666666666666666
35,15,10,0.6666666666666666
36,22,19,0.8636363636363636
37,11,3,0.2727272727272727
38,8,1,0.125
39,13,8,0.6153846153846154
40,25,10,0.4
41,12,7,0.5833333333333334
42,26,7,0.2692307692307692
43,19,13,0.6842105263157895
44,8,3,0.375
45,39,33,0.8461538461538461
46,13,3,0.23076923076923078
47,14,8,0.5714285714285714
48,10,7,0.7
49,18,11,0.6111111111111112
50,52,37,0.7115384615384616
51,17,14,0.8235294117647058
52,19,7,0.3684210526315789
53,12,9,0.75
54,14,9,0.6428571428571429
55,22,20,0.9090909090909091
56,13,9,0.6923076923076923
57,23,21,0.9130434782608695
58,13,12,0.9230769230769231
59,22,20,0.9090909090909091
60,10,10,1.0
61,11,3,0.2727272727272727
62,11,9,0.8181818181818182
63,11,8,0.7272727272727273
64,20,18,0.9
65,12,11,0.9166666666666666
66,9,2,0.2222222222222222
67,11,7,0.6363636363636364
68,11,5,0.45454545454545453
69,12,7,0.5833333333333334
70,16,13,0.8125
71,19,2,0.10526315789473684
72,39,28,0.717948717948718
73,34,23,0.6764705882352942
74,24,19,0.7916666666666666
75,21,8,0.38095238095238093
76,50,49,0.98
77,27,16,0.5925925925925926
78,8,4,0.5
79,21,10,0.47619047619047616
80,33,27,0.8181818181818182
81,22,7,0.3181818181818182
82,26,7,0.2692307692307692
83,17,2,0.11764705882352941
84,13,2,0.15384615384615385
85,12,7,0.5833333333333334
86,13,11,0.8461538461538461
87,31,22,0.7096774193548387
88,37,22,0.5945945945945946
89,16,2,0.125
90,15,10,0.6666666666666666
91,13,6,0.46153846153846156
92,9,2,0.2222222222222222
93,32,20,0.625
94,26,7,0.2692307692307692
95,18,5,0.2777777777777778
96,13,2,0.15384615384615385
97,16,5,0.3125
98,13,4,0.3076923076923077
99,10,5,0.5
100,12,6,0.5
101,10,7,0.7
