label,total,correct,accuracy
0,8,0,0.0
1,12,10,0.8333333333333334
2,8,1,0.125
3,11,3,0.2727272727272727
4,13,8,0.6153846153846154
5,9,6,0.6666666666666666
6,8,4,0.5
7,17,16,0.9411764705882353
8,9,6,0.6666666666666666
9,9,6,0.6666666666666666
10,17,0,0.0
11,17,12,0.7058823529411765
12,10,6,0.6
13,10,7,0.7
14,10,7,0.7
15,8,4,0.5
16,17,13,0.7647058823529411
17,16,8,0.5
18,10,2,0.2
19,11,3,0.2727272727272727
20,8,5,0.625
21,12,5,0.4166666666666667
22,18,9,0.5
23,9,3,0.3333333333333333
24,8,6,0.75
25,8,3,0.375
26,8,4,0.5
27,13,10,0.7692307692307693
28,16,9,0.5625
29,17,9,0.5294117647058824
30,11,0,0.0
31,9,0,0.0
32,9,1,0.1111111111111111
33,8,1,0.125
34,9,7,0.7777777777777778
35,15,9,0.6
36,22,17,0.7727272727272727
37,11,4,0.36363636363636365
38,8,2,0.25
39,13,7,0.5384615384615384
40,25,8,0.32
41,12,7,0.5833333333333334
42,26,10,0.38461538461538464
43,19,10,0.5263157894736842
44,8,2,0.25
45,39,28,0.717948717948718
46,13,9,0.6923076923076923
47,14,10,0.7142857142857143
48,10,8,0.8
49,18,10,0.5555555555555556
50,52,29,0.5576923076923077
51,17,12,0.7058823529411765
52,19,6,0.3157894736842105
53,12,8,0.6666666666666666
54,14,10,0.7142857142857143
55,22,21,0.9545454545454546
56,13,10,0.7692307692307693
57,23,23,1.0
58,13,12,0.9230769230769231
59,22,21,0.9545454545454546
60,10,10,1.0
61,11,5,0.45454545454545453
62,11,7,0.6363636363636364
63,11,10,0.9090909090909091
64,20,17,0.85
65,12,11,0.9166666666666666
66,9,2,0.2222222222222222
67,11,7,0.6363636363636364
68,11,7,0.6363636363636364
69,12,10,0.8333333333333334
70,16,11,0.6875
71,19,1,0.05263157894736842
72,39,28,0.717948717948718
73,34,19,0.5588235294117647
74,24,17,0.7083333333333334
75,21,6,0.2857142857142857
76,50,45,0.9
77,27,18,0.6666666666666666
78,8,1,0.125
79,21,2,0.09523809523809523
80,33,29,0.8787878787878788
81,22,7,0.3181818181818182
82,26,9,0.34615384615384615
83,17,2,0.11764705882352941
84,13,3,0.23076923076923078
85,12,8,0.6666666666666666
86,13,11,0.8461538461538461
87,31,21,0.6774193548387096
88,37,25,0.6756756756756757
89,16,1,0.0625
90,15,10,0.6666666666666666
91,13,7,0.5384615384615384
92,9,2,0.2222222222222222
93,32,18,0.5625
94,26,8,0.3076923076923077
95,18,11,0.6111111111111112
96,13,2,0.15384615384615385
97,16,8,0.5
98,13,5,0.38461538461538464
99,10,7,0.7
100,12,4,0.3333333333333333
101,10,4,0.4
