label,total,correct,accuracy
0,8,4,0.5
1,12,10,0.8333333333333334
2,8,3,0.375
3,11,0,0.0
4,13,5,0.38461538461538464
5,9,6,0.6666666666666666
6,8,5,0.625
7,17,11,0.6470588235294118
8,9,5,0.5555555555555556
9,9,4,0.4444444444444444
10,17,0,0.0
11,17,13,0.7647058823529411
12,10,3,0.3
13,10,6,0.6
14,10,7,0.7
15,8,2,0.25
16,17,13,0.7647058823529411
17,16,3,0.1875
18,10,2,0.2
19,11,1,0.09090909090909091
20,8,2,0.25
21,12,5,0.4166666666666667
22,18,6,0.3333333333333333
23,9,4,0.4444444444444444
24,8,4,0.5
25,8,3,0.375
26,8,3,0.375
27,13,8,0.6153846153846154
28,16,7,0.4375
29,17,7,0.4117647058823529
30,11,1,0.09090909090909091
31,9,1,0.1111111111111111
32,9,4,0.4444444444444444
33,8,1,0.125
34,9,7,0.7777777777777778
35,15,8,0.5333333333333333
36,22,18,0.8181818181818182
37,11,3,0.2727272727272727
38,8,2,0.25
39,13,6,0.46153846153846156
40,25,1,0.04
41,12,6,0.5
42,26,3,0.11538461538461539
43,19,12,0.631578947368421
44,8,2,0.25
45,39,28,0.717948717948718
46,13,4,0.3076923076923077
47,14,10,0.7142857142857143
48,10,7,0.7
49,18,10,0.5555555555555556
50,52,33,0.6346153846153846
51,17,16,0.9411764705882353
52,19,3,0.15789473684210525
53,12,8,0.6666666666666666
54,14,5,0.35714285714285715
55,22,18,0.8181818181818182
56,13,9,0.6923076923076923
57,23,20,0.8695652173913043
58,13,12,0.9230769230769231
59,22,22,1.0
60,10,10,1.0
61,11,2,0.18181818181818182
62,11,10,0.9090909090909091
63,11,2,0.18181818181818182
64,20,16,0.8
65,12,11,0.9166666666666666
66,9,1,0.1111111111111111
67,11,5,0.45454545454545453
68,11,5,0.45454545454545453
69,12,7,0.5833333333333334
70,16,8,0.5
71,19,1,0.05263157894736842
72,39,27,0.6923076923076923
73,34,13,0.38235294117647056
74,24,21,0.875
75,21,9,0.42857142857142855
76,50,48,0.96
77,27,16,0.5925925925925926
78,8,2,0.25
79,21,3,0.14285714285714285
80,33,27,0.8181818181818182
81,22,6,0.2727272727272727
82,26,4,0.15384615384615385
83,17,3,0.17647058823529413
84,13,3,0.23076923076923078
85,12,5,0.4166666666666667
86,13,6,0.46153846153846156
87,31,12,0.3870967741935484
88,37,26,0.7027027027027027
89,16,3,0.1875
90,15,9,0.6
91,13,2,0.15384615384615385
92,9,2,0.2222222222222222
93,32,17,0.53125
94,26,7,0.2692307692307692
95,18,2,0.1111111111111111
96,13,2,0.15384615384615385
97,16,8,0.5
98,13,1,0.07692307692307693
99,10,5,0.5
100,12,4,0.3333333333333333
101,10,6,0.6
