label,total,correct,accuracy
0,8,3,0.375
1,12,10,0.8333333333333334
2,8,1,0.125
3,11,1,0.09090909090909091
4,13,4,0.3076923076923077
5,9,6,0.6666666666666666
6,8,4,0.5
7,17,14,0.8235294117647058
8,9,6,0.6666666666666666
9,9,8,0.8888888888888888
10,17,1,0.058823529411764705
11,17,10,0.5882352941176471
12,10,6,0.6
13,10,7,0.7
14,10,8,0.8
15,8,0,0.0
16,17,14,0.8235294117647058
17,16,4,0.25
18,10,2,0.2
19,11,6,0.5454545454545454
20,8,7,0.875
21,12,5,0.4166666666666667
22,18,7,0.3888888888888889
23,9,1,0.1111111111111111
24,8,1,0.125
25,8,3,0.375
26,8,3,0.375
27,13,5,0.38461538461538464
28,16,9,0.5625
29,17,8,0.47058823529411764
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,3,0.3333333333333333
33,8,0,0.0
34,9,5,0.5555555555555556
35,15,9,0.6
36,22,16,0.7272727272727273
37,11,4,0.36363636363636365
38,8,1,0.125
39,13,4,0.3076923076923077
40,25,7,0.28
41,12,8,0.6666666666666666
42,26,8,0.3076923076923077
43,19,13,0.6842105263157895
44,8,2,0.25
45,39,33,0.8461538461538461
46,13,8,0.6153846153846154
47,14,6,0.42857142857142855
48,10,3,0.3
49,18,9,0.5
50,52,23,0.4423076923076923
51,17,14,0.8235294117647058
52,19,1,0.05263157894736842
53,12,9,0.75
54,14,9,0.6428571428571429
55,22,18,0.8181818181818182
56,13,10,0.7692307692307693
57,23,22,0.9565217391304348
58,13,11,0.8461538461538461
59,22,22,1.0
60,10,9,0.9
61,11,2,0.18181818181818182
62,11,11,1.0
63,11,11,1.0
64,20,13,0.65
65,12,11,0.9166666666666666
66,9,1,0.1111111111111111
67,11,7,0.6363636363636364
68,11,4,0.36363636363636365
69,12,8,0.6666666666666666
70,16,9,0.5625
71,19,2,0.10526315789473684
72,39,28,0.717948717948718
73,34,18,0.5294117647058824
74,24,14,0.5833333333333334
75,21,9,0.42857142857142855
76,50,45,0.9
77,27,18,0.6666666666666666
78,8,2,0.25
79,21,8,0.38095238095238093
80,33,30,0.9090909090909091
81,22,7,0.3181818181818182
82,26,5,0.19230769230769232
83,17,3,0.17647058823529413
84,13,0,0.0
85,12,7,0.5833333333333334
86,13,9,0.6923076923076923
87,31,24,0.7741935483870968
88,37,26,0.7027027027027027
89,16,7,0.4375
90,15,10,0.6666666666666666
91,13,5,0.38461538461538464
92,9,0,0.0
93,32,13,0.40625
94,26,7,0.2692307692307692
95,18,0,0.0
96,13,4,0.3076923076923077
97,16,8,0.5
98,13,1,0.07692307692307693
99,10,9,0.9
100,12,5,0.4166666666666667
101,10,3,0.3
