label,total,correct,accuracy
0,8,5,0.625
1,12,8,0.6666666666666666
2,8,2,0.25
3,11,4,0.36363636363636365
4,13,6,0.46153846153846156
5,9,6,0.6666666666666666
6,8,6,0.75
7,17,14,0.8235294117647058
8,9,8,0.8888888888888888
9,9,8,0.8888888888888888
10,17,0,0.0
11,17,14,0.8235294117647058
12,10,9,0.9
13,10,8,0.8
14,10,6,0.6
15,8,1,0.125
16,17,15,0.8823529411764706
17,16,8,0.5
18,10,1,0.1
19,11,2,0.18181818181818182
20,8,6,0.75
21,12,7,0.5833333333333334
22,18,6,0.3333333333333333
23,9,7,0.7777777777777778
24,8,4,0.5
25,8,2,0.25
26,8,3,0.375
27,13,9,0.6923076923076923
28,16,10,0.625
29,17,10,0.5882352941176471
30,11,4,0.36363636363636365
31,9,3,0.3333333333333333
32,9,3,0.3333333333333333
33,8,2,0.25
34,9,7,0.7777777777777778
35,15,13,0.8666666666666667
36,22,18,0.8181818181818182
37,11,6,0.5454545454545454
38,8,1,0.125
39,13,8,0.6153846153846154
40,25,19,0.76
41,12,6,0.5
42,26,8,0.3076923076923077
43,19,12,0.631578947368421
44,8,4,0.5
45,39,34,0.8717948717948718
46,13,5,0.38461538461538464
47,14,8,0.5714285714285714
48,10,10,1.0
49,18,12,0.6666666666666666
50,52,28,0.5384615384615384
51,17,15,0.8823529411764706
52,19,11,0.5789473684210527
53,12,7,0.5833333333333334
54,14,8,0.5714285714285714
55,22,20,0.9090909090909091
56,13,10,0.7692307692307693
57,23,20,0.8695652173913043
58,13,12,0.9230769230769231
59,22,21,0.9545454545454546
60,10,9,0.9
61,11,4,0.36363636363636365
62,11,10,0.9090909090909091
63,11,10,0.9090909090909091
64,20,16,0.8
65,12,11,0.9166666666666666
66,9,3,0.3333333333333333
67,11,7,0.6363636363636364
68,11,5,0.45454545454545453
69,12,11,0.9166666666666666
70,16,15,0.9375
71,19,0,0.0
72,39,33,0.8461538461538461
73,34,20,0.5882352941176471
74,24,22,0.9166666666666666
75,21,15,0.7142857142857143
76,50,46,0.92
77,27,16,0.5925925925925926
78,8,3,0.375
79,21,10,0.47619047619047616
80,33,29,0.8787878787878788
81,22,14,0.6363636363636364
82,26,12,0.46153846153846156
83,17,5,0.29411764705882354
84,13,4,0.3076923076923077
85,12,7,0.5833333333333334
86,13,11,0.8461538461538461
87,31,21,0.6774193548387096
88,37,22,0.5945945945945946
89,16,7,0.4375
90,15,11,0.7333333333333333
91,13,6,0.46153846153846156
92,9,2,0.2222222222222222
93,32,20,0.625
94,26,9,0.34615384615384615
95,18,6,0.3333333333333333
96,13,2,0.15384615384615385
97,16,9,0.5625
98,13,4,0.3076923076923077
99,10,7,0.7
100,12,3,0.25
101,10,6,0.6
