label,total,correct,accuracy
0,8,1,0.125
1,12,8,0.6666666666666666
2,8,2,0.25
3,11,2,0.18181818181818182
4,13,4,0.3076923076923077
5,9,6,0.6666666666666666
6,8,5,0.625
7,17,15,0.8823529411764706
8,9,7,0.7777777777777778
9,9,7,0.7777777777777778
10,17,0,0.0
11,17,14,0.8235294117647058
12,10,7,0.7
13,10,5,0.5
14,10,6,0.6
15,8,1,0.125
16,17,15,0.8823529411764706
17,16,3,0.1875
18,10,2,0.2
19,11,4,0.36363636363636365
20,8,6,0.75
21,12,4,0.3333333333333333
22,18,5,0.2777777777777778
23,9,1,0.1111111111111111
24,8,1,0.125
25,8,5,0.625
26,8,5,0.625
27,13,7,0.5384615384615384
28,16,3,0.1875
29,17,8,0.47058823529411764
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,1,0.1111111111111111
33,8,2,0.25
34,9,8,0.8888888888888888
35,15,11,0.7333333333333333
36,22,18,0.8181818181818182
37,11,3,0.2727272727272727
38,8,0,0.0
39,13,6,0.46153846153846156
40,25,1,0.04
41,12,7,0.5833333333333334
42,26,5,0.19230769230769232
43,19,11,0.5789473684210527
44,8,1,0.125
45,39,31,0.7948717948717948
46,13,5,0.38461538461538464
47,14,8,0.5714285714285714
48,10,8,0.8
49,18,10,0.5555555555555556
50,52,32,0.6153846153846154
51,17,13,0.7647058823529411
52,19,4,0.21052631578947367
53,12,6,0.5
54,14,7,0.5
55,22,17,0.7727272727272727
56,13,9,0.6923076923076923
57,23,21,0.9130434782608695
58,13,12,0.9230769230769231
59,22,20,0.9090909090909091
60,10,10,1.0
61,11,2,0.18181818181818182
62,11,10,0.9090909090909091
63,11,8,0.7272727272727273
64,20,16,0.8
65,12,10,0.8333333333333334
66,9,1,0.1111111111111111
67,11,7,0.6363636363636364
68,11,2,0.18181818181818182
69,12,9,0.75
70,16,15,0.9375
71,19,1,0.05263157894736842
72,39,21,0.5384615384615384
73,34,9,0.2647058823529412
74,24,21,0.875
75,21,5,0.23809523809523808
76,50,48,0.96
77,27,9,0.3333333333333333
78,8,3,0.375
79,21,4,0.19047619047619047
80,33,27,0.8181818181818182
81,22,9,0.4090909090909091
82,26,8,0.3076923076923077
83,17,3,0.17647058823529413
84,13,2,0.15384615384615385
85,12,2,0.16666666666666666
86,13,10,0.7692307692307693
87,31,13,0.41935483870967744
88,37,22,0.5945945945945946
89,16,4,0.25
90,15,9,0.6
91,13,6,0.46153846153846156
92,9,3,0.3333333333333333
93,32,13,0.40625
94,26,7,0.2692307692307692
95,18,1,0.05555555555555555
96,13,1,0.07692307692307693
97,16,8,0.5
98,13,1,0.07692307692307693
99,10,5,0.5
100,12,6,0.5
101,10,4,0.4
