label,total,correct,accuracy
0,8,4,0.5
1,12,9,0.75
2,8,4,0.5
3,11,2,0.18181818181818182
4,13,5,0.38461538461538464
5,9,6,0.6666666666666666
6,8,5,0.625
7,17,12,0.7058823529411765
8,9,5,0.5555555555555556
9,9,8,0.8888888888888888
10,17,1,0.058823529411764705
11,17,12,0.7058823529411765
12,10,7,0.7
13,10,6,0.6
14,10,7,0.7
15,8,2,0.25
16,17,16,0.9411764705882353
17,16,4,0.25
18,10,2,0.2
19,11,3,0.2727272727272727
20,8,5,0.625
21,12,6,0.5
22,18,9,0.5
23,9,4,0.4444444444444444
24,8,4,0.5
25,8,6,0.75
26,8,4,0.5
27,13,7,0.5384615384615384
28,16,7,0.4375
29,17,4,0.23529411764705882
30,11,2,0.18181818181818182
31,9,1,0.1111111111111111
32,9,1,0.1111111111111111
33,8,1,0.125
34,9,8,0.8888888888888888
35,15,9,0.6
36,22,18,0.8181818181818182
37,11,6,0.5454545454545454
38,8,2,0.25
39,13,7,0.5384615384615384
40,25,8,0.32
41,12,5,0.4166666666666667
42,26,2,0.07692307692307693
43,19,10,0.5263157894736842
44,8,4,0.5
45,39,35,0.8974358974358975
46,13,3,0.23076923076923078
47,14,11,0.7857142857142857
48,10,7,0.7
49,18,13,0.7222222222222222
50,52,28,0.5384615384615384
51,17,13,0.7647058823529411
52,19,5,0.2631578947368421
53,12,10,0.8333333333333334
54,14,9,0.6428571428571429
55,22,20,0.9090909090909091
56,13,10,0.7692307692307693
57,23,20,0.8695652173913043
58,13,11,0.8461538461538461
59,22,22,1.0
60,10,10,1.0
61,11,4,0.36363636363636365
62,11,10,0.9090909090909091
63,11,11,1.0
64,20,14,0.7
65,12,10,0.8333333333333334
66,9,2,0.2222222222222222
67,11,6,0.5454545454545454
68,11,5,0.45454545454545453
69,12,9,0.75
70,16,12,0.75
71,19,3,0.15789473684210525
72,39,30,0.7692307692307693
73,34,22,0.6470588235294118
74,24,15,0.625
75,21,10,0.47619047619047616
76,50,44,0.88
77,27,18,0.6666666666666666
78,8,3,0.375
79,21,9,0.42857142857142855
80,33,30,0.9090909090909091
81,22,8,0.36363636363636365
82,26,5,0.19230769230769232
83,17,3,0.17647058823529413
84,13,2,0.15384615384615385
85,12,2,0.16666666666666666
86,13,9,0.6923076923076923
87,31,16,0.5161290322580645
88,37,25,0.6756756756756757
89,16,3,0.1875
90,15,10,0.6666666666666666
91,13,3,0.23076923076923078
92,9,3,0.3333333333333333
93,32,16,0.5
94,26,13,0.5
95,18,4,0.2222222222222222
96,13,2,0.15384615384615385
97,16,8,0.5
98,13,7,0.5384615384615384
99,10,5,0.5
100,12,2,0.16666666666666666
101,10,4,0.4
