label,total,correct,accuracy
0,8,4,0.5
1,12,9,0.75
2,8,1,0.125
3,11,2,0.18181818181818182
4,13,2,0.15384615384615385
5,9,7,0.7777777777777778
6,8,4,0.5
7,17,13,0.7647058823529411
8,9,2,0.2222222222222222
9,9,7,0.7777777777777778
10,17,0,0.0
11,17,14,0.8235294117647058
12,10,7,0.7
13,10,6,0.6
14,10,8,0.8
15,8,1,0.125
16,17,13,0.7647058823529411
17,16,1,0.0625
18,10,2,0.2
19,11,7,0.6363636363636364
20,8,7,0.875
21,12,8,0.6666666666666666
22,18,9,0.5
23,9,2,0.2222222222222222
24,8,1,0.125
25,8,1,0.125
26,8,4,0.5
27,13,8,0.6153846153846154
28,16,6,0.375
29,17,7,0.4117647058823529
30,11,2,0.18181818181818182
31,9,1,0.1111111111111111
32,9,3,0.3333333333333333
33,8,0,0.0
34,9,5,0.5555555555555556
35,15,8,0.5333333333333333
36,22,20,0.9090909090909091
37,11,4,0.36363636363636365
38,8,1,0.125
39,13,5,0.38461538461538464
40,25,3,0.12
41,12,9,0.75
42,26,12,0.46153846153846156
43,19,11,0.5789473684210527
44,8,1,0.125
45,39,28,0.717948717948718
46,13,3,0.23076923076923078
47,14,6,0.42857142857142855
48,10,3,0.3
49,18,9,0.5
50,52,22,0.4230769230769231
51,17,16,0.9411764705882353
52,19,1,0.05263157894736842
53,12,9,0.75
54,14,12,0.8571428571428571
55,22,18,0.8181818181818182
56,13,9,0.6923076923076923
57,23,20,0.8695652173913043
58,13,9,0.6923076923076923
59,22,22,1.0
60,10,10,1.0
61,11,1,0.09090909090909091
62,11,11,1.0
63,11,11,1.0
64,20,12,0.6
65,12,12,1.0
66,9,3,0.3333333333333333
67,11,8,0.7272727272727273
68,11,3,0.2727272727272727
69,12,8,0.6666666666666666
70,16,7,0.4375
71,19,1,0.05263157894736842
72,39,27,0.6923076923076923
73,34,17,0.5
74,24,10,0.4166666666666667
75,21,4,0.19047619047619047
76,50,48,0.96
77,27,13,0.48148148148148145
78,8,3,0.375
79,21,9,0.42857142857142855
80,33,27,0.8181818181818182
81,22,7,0.3181818181818182
82,26,4,0.15384615384615385
83,17,3,0.17647058823529413
84,13,1,0.07692307692307693
85,12,5,0.4166666666666667
86,13,9,0.6923076923076923
87,31,21,0.6774193548387096
88,37,25,0.6756756756756757
89,16,6,0.375
90,15,12,0.8
91,13,6,0.46153846153846156
92,9,1,0.1111111111111111
93,32,18,0.5625
94,26,6,0.23076923076923078
95,18,2,0.1111111111111111
96,13,3,0.23076923076923078
97,16,9,0.5625
98,13,1,0.07692307692307693
99,10,5,0.5
100,12,2,0.16666666666666666
101,10,1,0.1
