label,total,correct,accuracy
0,8,3,0.375
1,12,10,0.8333333333333334
2,8,1,0.125
3,11,0,0.0
4,13,4,0.3076923076923077
5,9,6,0.6666666666666666
6,8,6,0.75
7,17,12,0.7058823529411765
8,9,6,0.6666666666666666
9,9,6,0.6666666666666666
10,17,0,0.0
11,17,10,0.5882352941176471
12,10,4,0.4
13,10,6,0.6
14,10,6,0.6
15,8,0,0.0
16,17,14,0.8235294117647058
17,16,2,0.125
18,10,1,0.1
19,11,2,0.18181818181818182
20,8,4,0.5
21,12,6,0.5
22,18,8,0.4444444444444444
23,9,1,0.1111111111111111
24,8,2,0.25
25,8,6,0.75
26,8,3,0.375
27,13,6,0.46153846153846156
28,16,8,0.5
29,17,8,0.47058823529411764
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,1,0.1111111111111111
33,8,0,0.0
34,9,5,0.5555555555555556
35,15,10,0.6666666666666666
36,22,18,0.8181818181818182
37,11,3,0.2727272727272727
38,8,0,0.0
39,13,7,0.5384615384615384
40,25,0,0.0
41,12,5,0.4166666666666667
42,26,4,0.15384615384615385
43,19,13,0.6842105263157895
44,8,0,0.0
45,39,32,0.8205128205128205
46,13,7,0.5384615384615384
47,14,8,0.5714285714285714
48,10,6,0.6
49,18,10,0.5555555555555556
50,52,29,0.5576923076923077
51,17,14,0.8235294117647058
52,19,3,0.15789473684210525
53,12,7,0.5833333333333334
54,14,7,0.5
55,22,18,0.8181818181818182
56,13,8,0.6153846153846154
57,23,21,0.9130434782608695
58,13,11,0.8461538461538461
59,22,16,0.7272727272727273
60,10,10,1.0
61,11,1,0.09090909090909091
62,11,10,0.9090909090909091
63,11,5,0.45454545454545453
64,20,16,0.8
65,12,11,0.9166666666666666
66,9,2,0.2222222222222222
67,11,5,0.45454545454545453
68,11,3,0.2727272727272727
69,12,5,0.4166666666666667
70,16,14,0.875
71,19,1,0.05263157894736842
72,39,24,0.6153846153846154
73,34,11,0.3235294117647059
74,24,20,0.8333333333333334
75,21,4,0.19047619047619047
76,50,46,0.92
77,27,10,0.37037037037037035
78,8,1,0.125
79,21,5,0.23809523809523808
80,33,27,0.8181818181818182
81,22,6,0.2727272727272727
82,26,2,0.07692307692307693
83,17,1,0.058823529411764705
84,13,2,0.15384615384615385
85,12,4,0.3333333333333333
86,13,9,0.6923076923076923
87,31,17,0.5483870967741935
88,37,18,0.4864864864864865
89,16,1,0.0625
90,15,7,0.4666666666666667
91,13,4,0.3076923076923077
92,9,2,0.2222222222222222
93,32,13,0.40625
94,26,9,0.34615384615384615
95,18,1,0.05555555555555555
96,13,1,0.07692307692307693
97,16,8,0.5
98,13,0,0.0
99,10,4,0.4
100,12,5,0.4166666666666667
101,10,5,0.5
