label,total,correct,accuracy
0,8,5,0.625
1,12,9,0.75
2,8,2,0.25
3,11,4,0.36363636363636365
4,13,7,0.5384615384615384
5,9,6,0.6666666666666666
6,8,4,0.5
7,17,13,0.7647058823529411
8,9,5,0.5555555555555556
9,9,8,0.8888888888888888
10,17,0,0.0
11,17,11,0.6470588235294118
12,10,5,0.5
13,10,8,0.8
14,10,8,0.8
15,8,3,0.375
16,17,15,0.8823529411764706
17,16,6,0.375
18,10,1,0.1
19,11,2,0.18181818181818182
20,8,7,0.875
21,12,5,0.4166666666666667
22,18,8,0.4444444444444444
23,9,6,0.6666666666666666
24,8,3,0.375
25,8,4,0.5
26,8,3,0.375
27,13,6,0.46153846153846156
28,16,10,0.625
29,17,8,0.47058823529411764
30,11,0,0.0
31,9,0,0.0
32,9,2,0.2222222222222222
33,8,1,0.125
34,9,8,0.8888888888888888
35,15,9,0.6
36,22,18,0.8181818181818182
37,11,4,0.36363636363636365
38,8,2,0.25
39,13,8,0.6153846153846154
40,25,15,0.6
41,12,5,0.4166666666666667
42,26,7,0.2692307692307692
43,19,9,0.47368421052631576
44,8,3,0.375
45,39,32,0.8205128205128205
46,13,10,0.7692307692307693
47,14,10,0.7142857142857143
48,10,8,0.8
49,18,12,0.6666666666666666
50,52,33,0.6346153846153846
51,17,14,0.8235294117647058
52,19,5,0.2631578947368421
53,12,7,0.5833333333333334
54,14,10,0.7142857142857143
55,22,19,0.8636363636363636
56,13,10,0.7692307692307693
57,23,22,0.9565217391304348
58,13,13,1.0
59,22,21,0.9545454545454546
60,10,10,1.0
61,11,2,0.18181818181818182
62,11,10,0.9090909090909091
63,11,10,0.9090909090909091
64,20,17,0.85
65,12,11,0.9166666666666666
66,9,1,0.1111111111111111
67,11,9,0.8181818181818182
68,11,7,0.6363636363636364
69,12,10,0.8333333333333334
70,16,13,0.8125
71,19,4,0.21052631578947367
72,39,32,0.8205128205128205
73,34,25,0.7352941176470589
74,24,16,0.6666666666666666
75,21,8,0.38095238095238093
76,50,42,0.84
77,27,22,0.8148148148148148
78,8,5,0.625
79,21,8,0.38095238095238093
80,33,28,0.8484848484848485
81,22,4,0.18181818181818182
82,26,5,0.19230769230769232
83,17,1,0.058823529411764705
84,13,2,0.15384615384615385
85,12,7,0.5833333333333334
86,13,10,0.7692307692307693
87,31,21,0.6774193548387096
88,37,27,0.7297297297297297
89,16,4,0.25
90,15,10,0.6666666666666666
91,13,8,0.6153846153846154
92,9,1,0.1111111111111111
93,32,20,0.625
94,26,10,0.38461538461538464
95,18,8,0.4444444444444444
96,13,2,0.15384615384615385
97,16,6,0.375
98,13,6,0.46153846153846156
99,10,6,0.6
100,12,6,0.5
101,10,4,0.4
