label,total,correct,accuracy
0,8,3,0.375
1,12,10,0.8333333333333334
2,8,1,0.125
3,11,0,0.0
4,13,2,0.15384615384615385
5,9,6,0.6666666666666666
6,8,8,1.0
7,17,10,0.5882352941176471
8,9,2,0.2222222222222222
9,9,7,0.7777777777777778
10,17,0,0.0
11,17,7,0.4117647058823529
12,10,4,0.4
13,10,5,0.5
14,10,7,0.7
15,8,1,0.125
16,17,12,0.7058823529411765
17,16,3,0.1875
18,10,1,0.1
19,11,2,0.18181818181818182
20,8,4,0.5
21,12,6,0.5
22,18,8,0.4444444444444444
23,9,1,0.1111111111111111
24,8,4,0.5
25,8,2,0.25
26,8,3,0.375
27,13,8,0.6153846153846154
28,16,7,0.4375
29,17,7,0.4117647058823529
30,11,0,0.0
31,9,0,0.0
32,9,3,0.3333333333333333
33,8,0,0.0
34,9,4,0.4444444444444444
35,15,11,0.7333333333333333
36,22,16,0.7272727272727273
37,11,3,0.2727272727272727
38,8,1,0.125
39,13,5,0.38461538461538464
40,25,8,0.32
41,12,5,0.4166666666666667
42,26,4,0.15384615384615385
43,19,10,0.5263157894736842
44,8,0,0.0
45,39,33,0.8461538461538461
46,13,5,0.38461538461538464
47,14,12,0.8571428571428571
48,10,6,0.6
49,18,10,0.5555555555555556
50,52,27,0.5192307692307693
51,17,13,0.7647058823529411
52,19,1,0.05263157894736842
53,12,7,0.5833333333333334
54,14,9,0.6428571428571429
55,22,19,0.8636363636363636
56,13,9,0.6923076923076923
57,23,21,0.9130434782608695
58,13,8,0.6153846153846154
59,22,19,0.8636363636363636
60,10,9,0.9
61,11,1,0.09090909090909091
62,11,9,0.8181818181818182
63,11,8,0.7272727272727273
64,20,8,0.4
65,12,10,0.8333333333333334
66,9,1,0.1111111111111111
67,11,3,0.2727272727272727
68,11,4,0.36363636363636365
69,12,3,0.25
70,16,13,0.8125
71,19,0,0.0
72,39,26,0.6666666666666666
73,34,12,0.35294117647058826
74,24,18,0.75
75,21,13,0.6190476190476191
76,50,46,0.92
77,27,12,0.4444444444444444
78,8,0,0.0
79,21,5,0.23809523809523808
80,33,31,0.9393939393939394
81,22,6,0.2727272727272727
82,26,5,0.19230769230769232
83,17,0,0.0
84,13,3,0.23076923076923078
85,12,7,0.5833333333333334
86,13,6,0.46153846153846156
87,31,12,0.3870967741935484
88,37,24,0.6486486486486487
89,16,4,0.25
90,15,8,0.5333333333333333
91,13,4,0.3076923076923077
92,9,2,0.2222222222222222
93,32,15,0.46875
94,26,10,0.38461538461538464
95,18,5,0.2777777777777778
96,13,4,0.3076923076923077
97,16,5,0.3125
98,13,0,0.0
99,10,5,0.5
100,12,5,0.4166666666666667
101,10,5,0.5
