label,total,correct,accuracy
0,8,5,0.625
1,12,7,0.5833333333333334
2,8,2,0.25
3,11,2,0.18181818181818182
4,13,5,0.38461538461538464
5,9,6,0.6666666666666666
6,8,4,0.5
7,17,13,0.7647058823529411
8,9,3,0.3333333333333333
9,9,6,0.6666666666666666
10,17,0,0.0
11,17,9,0.5294117647058824
12,10,4,0.4
13,10,8,0.8
14,10,7,0.7
15,8,2,0.25
16,17,14,0.8235294117647058
17,16,3,0.1875
18,10,1,0.1
19,11,2,0.18181818181818182
20,8,6,0.75
21,12,6,0.5
22,18,6,0.3333333333333333
23,9,3,0.3333333333333333
24,8,6,0.75
25,8,2,0.25
26,8,4,0.5
27,13,4,0.3076923076923077
28,16,10,0.625
29,17,9,0.5294117647058824
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,3,0.3333333333333333
33,8,0,0.0
34,9,6,0.6666666666666666
35,15,8,0.5333333333333333
36,22,20,0.9090909090909091
37,11,2,0.18181818181818182
38,8,3,0.375
39,13,3,0.23076923076923078
40,25,7,0.28
41,12,10,0.8333333333333334
42,26,9,0.34615384615384615
43,19,9,0.47368421052631576
44,8,3,0.375
45,39,34,0.8717948717948718
46,13,5,0.38461538461538464
47,14,6,0.42857142857142855
48,10,5,0.5
49,18,11,0.6111111111111112
50,52,29,0.5576923076923077
51,17,14,0.8235294117647058
52,19,5,0.2631578947368421
53,12,8,0.6666666666666666
54,14,13,0.9285714285714286
55,22,16,0.7272727272727273
56,13,9,0.6923076923076923
57,23,20,0.8695652173913043
58,13,8,0.6153846153846154
59,22,22,1.0
60,10,9,0.9
61,11,1,0.09090909090909091
62,11,11,1.0
63,11,10,0.9090909090909091
64,20,15,0.75
65,12,11,0.9166666666666666
66,9,0,0.0
67,11,9,0.8181818181818182
68,11,3,0.2727272727272727
69,12,10,0.8333333333333334
70,16,9,0.5625
71,19,3,0.15789473684210525
72,39,20,0.5128205128205128
73,34,18,0.5294117647058824
74,24,20,0.8333333333333334
75,21,6,0.2857142857142857
76,50,39,0.78
77,27,24,0.8888888888888888
78,8,7,0.875
79,21,8,0.38095238095238093
80,33,29,0.8787878787878788
81,22,5,0.22727272727272727
82,26,6,0.23076923076923078
83,17,3,0.17647058823529413
84,13,5,0.38461538461538464
85,12,4,0.3333333333333333
86,13,9,0.6923076923076923
87,31,19,0.6129032258064516
88,37,29,0.7837837837837838
89,16,2,0.125
90,15,9,0.6
91,13,5,0.38461538461538464
92,9,1,0.1111111111111111
93,32,17,0.53125
94,26,9,0.34615384615384615
95,18,2,0.1111111111111111
96,13,3,0.23076923076923078
97,16,9,0.5625
98,13,4,0.3076923076923077
99,10,5,0.5
100,12,4,0.3333333333333333
101,10,4,0.4
