label,total,correct,accuracy
0,8,1,0.125
1,12,8,0.6666666666666666
2,8,0,0.0
3,11,0,0.0
4,13,4,0.3076923076923077
5,9,7,0.7777777777777778
6,8,3,0.375
7,17,8,0.47058823529411764
8,9,3,0.3333333333333333
9,9,4,0.4444444444444444
10,17,1,0.058823529411764705
11,17,9,0.5294117647058824
12,10,2,0.2
13,10,5,0.5
14,10,6,0.6
15,8,1,0.125
16,17,15,0.8823529411764706
17,16,2,0.125
18,10,1,0.1
19,11,2,0.18181818181818182
20,8,5,0.625
21,12,5,0.4166666666666667
22,18,5,0.2777777777777778
23,9,2,0.2222222222222222
24,8,5,0.625
25,8,2,0.25
26,8,5,0.625
27,13,6,0.46153846153846156
28,16,10,0.625
29,17,3,0.17647058823529413
30,11,0,0.0
31,9,0,0.0
32,9,2,0.2222222222222222
33,8,0,0.0
34,9,8,0.8888888888888888
35,15,7,0.4666666666666667
36,22,17,0.7727272727272727
37,11,1,0.09090909090909091
38,8,1,0.125
39,13,4,0.3076923076923077
40,25,5,0.2
41,12,2,0.16666666666666666
42,26,3,0.11538461538461539
43,19,8,0.42105263157894735
44,8,1,0.125
45,39,34,0.8717948717948718
46,13,3,0.23076923076923078
47,14,12,0.8571428571428571
48,10,7,0.7
49,18,8,0.4444444444444444
50,52,26,0.5
51,17,13,0.7647058823529411
52,19,3,0.15789473684210525
53,12,5,0.4166666666666667
54,14,8,0.5714285714285714
55,22,14,0.6363636363636364
56,13,7,0.5384615384615384
57,23,22,0.9565217391304348
58,13,10,0.7692307692307693
59,22,19,0.8636363636363636
60,10,9,0.9
61,11,0,0.0
62,11,8,0.7272727272727273
63,11,10,0.9090909090909091
64,20,11,0.55
65,12,11,0.9166666666666666
66,9,1,0.1111111111111111
67,11,5,0.45454545454545453
68,11,5,0.45454545454545453
69,12,7,0.5833333333333334
70,16,9,0.5625
71,19,5,0.2631578947368421
72,39,18,0.46153846153846156
73,34,18,0.5294117647058824
74,24,12,0.5
75,21,2,0.09523809523809523
76,50,41,0.82
77,27,14,0.5185185185185185
78,8,2,0.25
79,21,10,0.47619047619047616
80,33,23,0.696969696969697
81,22,2,0.09090909090909091
82,26,6,0.23076923076923078
83,17,0,0.0
84,13,0,0.0
85,12,6,0.5
86,13,7,0.5384615384615384
87,31,16,0.5161290322580645
88,37,20,0.5405405405405406
89,16,3,0.1875
90,15,7,0.4666666666666667
91,13,5,0.38461538461538464
92,9,3,0.3333333333333333
93,32,12,0.375
94,26,9,0.34615384615384615
95,18,0,0.0
96,13,4,0.3076923076923077
97,16,3,0.1875
98,13,2,0.15384615384615385
99,10,7,0.7
100,12,1,0.08333333333333333
101,10,3,0.3
