label,total,correct,accuracy
0,8,4,0.5
1,12,10,0.8333333333333334
2,8,1,0.125
3,11,3,0.2727272727272727
4,13,6,0.46153846153846156
5,9,7,0.7777777777777778
6,8,6,0.75
7,17,14,0.8235294117647058
8,9,6,0.6666666666666666
9,9,8,0.8888888888888888
10,17,1,0.058823529411764705
11,17,11,0.6470588235294118
12,10,8,0.8
13,10,6,0.6
14,10,8,0.8
15,8,4,0.5
16,17,16,0.9411764705882353
17,16,9,0.5625
18,10,3,0.3
19,11,4,0.36363636363636365
20,8,6,0.75
21,12,8,0.6666666666666666
22,18,8,0.4444444444444444
23,9,5,0.5555555555555556
24,8,5,0.625
25,8,1,0.125
26,8,4,0.5
27,13,7,0.5384615384615384
28,16,12,0.75
29,17,9,0.5294117647058824
30,11,0,0.0
31,9,2,0.2222222222222222
32,9,3,0.3333333333333333
33,8,4,0.5
34,9,7,0.7777777777777778
35,15,11,0.7333333333333333
36,22,18,0.8181818181818182
37,11,6,0.5454545454545454
38,8,1,0.125
39,13,6,0.46153846153846156
40,25,14,0.56
41,12,6,0.5
42,26,5,0.19230769230769232
43,19,13,0.6842105263157895
44,8,4,0.5
45,39,35,0.8974358974358975
46,13,10,0.7692307692307693
47,14,5,0.35714285714285715
48,10,10,1.0
49,18,12,0.6666666666666666
50,52,27,0.5192307692307693
51,17,15,0.8823529411764706
52,19,6,0.3157894736842105
53,12,10,0.8333333333333334
54,14,11,0.7857142857142857
55,22,20,0.9090909090909091
56,13,10,0.7692307692307693
57,23,21,0.9130434782608695
58,13,10,0.7692307692307693
59,22,21,0.9545454545454546
60,10,9,0.9
61,11,5,0.45454545454545453
62,11,11,1.0
63,11,11,1.0
64,20,16,0.8
65,12,11,0.9166666666666666
66,9,1,0.1111111111111111
67,11,7,0.6363636363636364
68,11,5,0.45454545454545453
69,12,8,0.6666666666666666
70,16,13,0.8125
71,19,5,0.2631578947368421
72,39,27,0.6923076923076923
73,34,22,0.6470588235294118
74,24,21,0.875
75,21,7,0.3333333333333333
76,50,48,0.96
77,27,20,0.7407407407407407
78,8,6,0.75
79,21,5,0.23809523809523808
80,33,30,0.9090909090909091
81,22,6,0.2727272727272727
82,26,7,0.2692307692307692
83,17,2,0.11764705882352941
84,13,3,0.23076923076923078
85,12,4,0.3333333333333333
86,13,9,0.6923076923076923
87,31,19,0.6129032258064516
88,37,27,0.7297297297297297
89,16,10,0.625
90,15,11,0.7333333333333333
91,13,7,0.5384615384615384
92,9,3,0.3333333333333333
93,32,20,0.625
94,26,9,0.34615384615384615
95,18,7,0.3888888888888889
96,13,5,0.38461538461538464
97,16,9,0.5625
98,13,5,0.38461538461538464
99,10,4,0.4
100,12,7,0.5833333333333334
101,10,5,0.5
