label,total,correct,accuracy
0,8,4,0.5
1,12,9,0.75
2,8,1,0.125
3,11,4,0.36363636363636365
4,13,8,0.6153846153846154
5,9,6,0.6666666666666666
6,8,4,0.5
7,17,13,0.7647058823529411
8,9,7,0.7777777777777778
9,9,8,0.8888888888888888
10,17,0,0.0
11,17,10,0.5882352941176471
12,10,5,0.5
13,10,8,0.8
14,10,8,0.8
15,8,2,0.25
16,17,14,0.8235294117647058
17,16,7,0.4375
18,10,2,0.2
19,11,3,0.2727272727272727
20,8,7,0.875
21,12,7,0.5833333333333334
22,18,8,0.4444444444444444
23,9,7,0.7777777777777778
24,8,2,0.25
25,8,5,0.625
26,8,3,0.375
27,13,5,0.38461538461538464
28,16,10,0.625
29,17,7,0.4117647058823529
30,11,1,0.09090909090909091
31,9,0,0.0
32,9,1,0.1111111111111111
33,8,1,0.125
34,9,8,0.8888888888888888
35,15,9,0.6
36,22,18,0.8181818181818182
37,11,3,0.2727272727272727
38,8,3,0.375
39,13,6,0.46153846153846156
40,25,15,0.6
41,12,4,0.3333333333333333
42,26,9,0.34615384615384615
43,19,10,0.5263157894736842
44,8,2,0.25
45,39,30,0.7692307692307693
46,13,13,1.0
47,14,10,0.7142857142857143
48,10,8,0.8
49,18,10,0.5555555555555556
50,52,33,0.6346153846153846
51,17,13,0.7647058823529411
52,19,4,0.21052631578947367
53,12,8,0.6666666666666666
54,14,10,0.7142857142857143
55,22,20,0.9090909090909091
56,13,9,0.6923076923076923
57,23,22,0.9565217391304348
58,13,13,1.0
59,22,22,1.0
60,10,10,1.0
61,11,2,0.18181818181818182
62,11,10,0.9090909090909091
63,11,10,0.9090909090909091
64,20,17,0.85
65,12,11,0.9166666666666666
66,9,2,0.2222222222222222
67,11,7,0.6363636363636364
68,11,7,0.6363636363636364
69,12,10,0.8333333333333334
70,16,14,0.875
71,19,1,0.05263157894736842
72,39,30,0.7692307692307693
73,34,21,0.6176470588235294
74,24,15,0.625
75,21,6,0.2857142857142857
76,50,42,0.84
77,27,20,0.7407407407407407
78,8,4,0.5
79,21,7,0.3333333333333333
80,33,30,0.9090909090909091
81,22,4,0.18181818181818182
82,26,5,0.19230769230769232
83,17,1,0.058823529411764705
84,13,4,0.3076923076923077
85,12,6,0.5
86,13,10,0.7692307692307693
87,31,19,0.6129032258064516
88,37,28,0.7567567567567568
89,16,4,0.25
90,15,9,0.6
91,13,7,0.5384615384615384
92,9,0,0.0
93,32,22,0.6875
94,26,11,0.4230769230769231
95,18,11,0.6111111111111112
96,13,3,0.23076923076923078
97,16,6,0.375
98,13,4,0.3076923076923077
99,10,4,0.4
100,12,5,0.4166666666666667
101,10,4,0.4
