label,total,correct,accuracy
0,8,1,0.125
1,12,8,0.6666666666666666
2,8,1,0.125
3,11,2,0.18181818181818182
4,13,5,0.38461538461538464
5,9,4,0.4444444444444444
6,8,6,0.75
7,17,12,0.7058823529411765
8,9,5,0.5555555555555556
9,9,8,0.8888888888888888
10,17,0,0.0
11,17,9,0.5294117647058824
12,10,3,0.3
13,10,6,0.6
14,10,9,0.9
15,8,2,0.25
16,17,15,0.8823529411764706
17,16,5,0.3125
18,10,1,0.1
19,11,3,0.2727272727272727
20,8,5,0.625
21,12,5,0.4166666666666667
22,18,3,0.16666666666666666
23,9,4,0.4444444444444444
24,8,2,0.25
25,8,3,0.375
26,8,3,0.375
27,13,10,0.7692307692307693
28,16,7,0.4375
29,17,5,0.29411764705882354
30,11,0,0.0
31,9,0,0.0
32,9,1,0.1111111111111111
33,8,0,0.0
34,9,5,0.5555555555555556
35,15,10,0.6666666666666666
36,22,16,0.7272727272727273
37,11,3,0.2727272727272727
38,8,0,0.0
39,13,5,0.38461538461538464
40,25,7,0.28
41,12,4,0.3333333333333333
42,26,8,0.3076923076923077
43,19,9,0.47368421052631576
44,8,2,0.25
45,39,33,0.8461538461538461
46,13,1,0.07692307692307693
47,14,7,0.5
48,10,6,0.6
49,18,11,0.6111111111111112
50,52,34,0.6538461538461539
51,17,15,0.8823529411764706
52,19,3,0.15789473684210525
53,12,6,0.5
54,14,9,0.6428571428571429
55,22,19,0.8636363636363636
56,13,6,0.46153846153846156
57,23,20,0.8695652173913043
58,13,10,0.7692307692307693
59,22,22,1.0
60,10,9,0.9
61,11,4,0.36363636363636365
62,11,9,0.8181818181818182
63,11,7,0.6363636363636364
64,20,17,0.85
65,12,10,0.8333333333333334
66,9,3,0.3333333333333333
67,11,3,0.2727272727272727
68,11,5,0.45454545454545453
69,12,8,0.6666666666666666
70,16,15,0.9375
71,19,4,0.21052631578947367
72,39,28,0.717948717948718
73,34,16,0.47058823529411764
74,24,18,0.75
75,21,8,0.38095238095238093
76,50,41,0.82
77,27,19,0.7037037037037037
78,8,3,0.375
79,21,4,0.19047619047619047
80,33,28,0.8484848484848485
81,22,9,0.4090909090909091
82,26,3,0.11538461538461539
83,17,0,0.0
84,13,2,0.15384615384615385
85,12,7,0.5833333333333334
86,13,8,0.6153846153846154
87,31,8,0.25806451612903225
88,37,19,0.5135135135135135
89,16,3,0.1875
90,15,8,0.5333333333333333
91,13,3,0.23076923076923078
92,9,3,0.3333333333333333
93,32,16,0.5
94,26,9,0.34615384615384615
95,18,3,0.16666666666666666
96,13,1,0.07692307692307693
97,16,4,0.25
98,13,4,0.3076923076923077
99,10,8,0.8
100,12,6,0.5
101,10,2,0.2
