label,total,correct,accuracy
0,8,4,0.5
1,12,10,0.8333333333333334
2,8,3,0.375
3,11,2,0.18181818181818182
4,13,11,0.8461538461538461
5,9,7,0.7777777777777778
6,8,2,0.25
7,17,10,0.5882352941176471
8,9,5,0.5555555555555556
9,9,6,0.6666666666666666
10,17,2,0.11764705882352941
11,17,10,0.5882352941176471
12,10,6,0.6
13,10,7,0.7
14,10,8,0.8
15,8,2,0.25
16,17,14,0.8235294117647058
17,16,7,0.4375
18,10,2,0.2
19,11,4,0.36363636363636365
20,8,6,0.75
21,12,8,0.6666666666666666
22,18,7,0.3888888888888889
23,9,5,0.5555555555555556
24,8,4,0.5
25,8,1,0.125
26,8,3,0.375
27,13,7,0.5384615384615384
28,16,8,0.5
29,17,11,0.6470588235294118
30,11,2,0.18181818181818182
31,9,0,0.0
32,9,2,0.2222222222222222
33,8,1,0.125
34,9,4,0.4444444444444444
35,15,10,0.6666666666666666
36,22,16,0.7272727272727273
37,11,3,0.2727272727272727
38,8,2,0.25
39,13,6,0.46153846153846156
40,25,7,0.28
41,12,6,0.5
42,26,3,0.11538461538461539
43,19,8,0.42105263157894735
44,8,2,0.25
45,39,33,0.8461538461538461
46,13,9,0.6923076923076923
47,14,9,0.6428571428571429
48,10,5,0.5
49,18,9,0.5
50,52,20,0.38461538461538464
51,17,13,0.7647058823529411
52,19,7,0.3684210526315789
53,12,8,0.6666666666666666
54,14,5,0.35714285714285715
55,22,18,0.8181818181818182
56,13,10,0.7692307692307693
57,23,20,0.8695652173913043
58,13,13,1.0
59,22,18,0.8181818181818182
60,10,10,1.0
61,11,2,0.18181818181818182
62,11,11,1.0
63,11,10,0.9090909090909091
64,20,14,0.7
65,12,10,0.8333333333333334
66,9,3,0.3333333333333333
67,11,5,0.45454545454545453
68,11,4,0.36363636363636365
69,12,7,0.5833333333333334
70,16,14,0.875
71,19,0,0.0
72,39,31,0.7948717948717948
73,34,11,0.3235294117647059
74,24,21,0.875
75,21,10,0.47619047619047616
76,50,41,0.82
77,27,15,0.5555555555555556
78,8,1,0.125
79,21,8,0.38095238095238093
80,33,28,0.8484848484848485
81,22,8,0.36363636363636365
82,26,5,0.19230769230769232
83,17,6,0.35294117647058826
84,13,3,0.23076923076923078
85,12,8,0.6666666666666666
86,13,8,0.6153846153846154
87,31,20,0.6451612903225806
88,37,23,0.6216216216216216
89,16,5,0.3125
90,15,8,0.5333333333333333
91,13,4,0.3076923076923077
92,9,2,0.2222222222222222
93,32,15,0.46875
94,26,8,0.3076923076923077
95,18,7,0.3888888888888889
96,13,3,0.23076923076923078
97,16,7,0.4375
98,13,6,0.46153846153846156
99,10,7,0.7
100,12,2,0.16666666666666666
101,10,5,0.5
