label,total,correct,accuracy
0,8,6,0.75
1,12,9,0.75
2,8,3,0.375
3,11,1,0.09090909090909091
4,13,5,0.38461538461538464
5,9,4,0.4444444444444444
6,8,6,0.75
7,17,15,0.8823529411764706
8,9,8,0.8888888888888888
9,9,8,0.8888888888888888
10,17,1,0.058823529411764705
11,17,15,0.8823529411764706
12,10,7,0.7
13,10,6,0.6
14,10,7,0.7
15,8,3,0.375
16,17,15,0.8823529411764706
17,16,8,0.5
18,10,3,0.3
19,11,6,0.5454545454545454
20,8,7,0.875
21,12,7,0.5833333333333334
22,18,7,0.3888888888888889
23,9,5,0.5555555555555556
24,8,4,0.5
25,8,1,0.125
26,8,5,0.625
27,13,7,0.5384615384615384
28,16,10,0.625
29,17,7,0.4117647058823529
30,11,1,0.09090909090909091
31,9,1,0.1111111111111111
32,9,4,0.4444444444444444
33,8,4,0.5
34,9,7,0.7777777777777778
35,15,11,0.7333333333333333
36,22,19,0.8636363636363636
37,11,7,0.6363636363636364
38,8,2,0.25
39,13,5,0.38461538461538464
40,25,14,0.56
41,12,9,0.75
42,26,6,0.23076923076923078
43,19,11,0.5789473684210527
44,8,5,0.625
45,39,35,0.8974358974358975
46,13,13,1.0
47,14,9,0.6428571428571429
48,10,8,0.8
49,18,9,0.5
50,52,30,0.5769230769230769
51,17,16,0.9411764705882353
52,19,9,0.47368421052631576
53,12,10,0.8333333333333334
54,14,11,0.7857142857142857
55,22,20,0.9090909090909091
56,13,9,0.6923076923076923
57,23,19,0.8260869565217391
58,13,10,0.7692307692307693
59,22,21,0.9545454545454546
60,10,8,0.8
61,11,5,0.45454545454545453
62,11,11,1.0
63,11,11,1.0
64,20,15,0.75
65,12,11,0.9166666666666666
66,9,1,0.1111111111111111
67,11,7,0.6363636363636364
68,11,5,0.45454545454545453
69,12,8,0.6666666666666666
70,16,11,0.6875
71,19,4,0.21052631578947367
72,39,26,0.6666666666666666
73,34,19,0.5588235294117647
74,24,12,0.5
75,21,10,0.47619047619047616
76,50,49,0.98
77,27,18,0.6666666666666666
78,8,3,0.375
79,21,11,0.5238095238095238
80,33,30,0.9090909090909091
81,22,3,0.13636363636363635
82,26,8,0.3076923076923077
83,17,1,0.058823529411764705
84,13,2,0.15384615384615385
85,12,5,0.4166666666666667
86,13,11,0.8461538461538461
87,31,23,0.7419354838709677
88,37,29,0.7837837837837838
89,16,9,0.5625
90,15,9,0.6
91,13,8,0.6153846153846154
92,9,4,0.4444444444444444
93,32,22,0.6875
94,26,11,0.4230769230769231
95,18,7,0.3888888888888889
96,13,6,0.46153846153846156
97,16,10,0.625
98,13,5,0.38461538461538464
99,10,7,0.7
100,12,4,0.3333333333333333
101,10,6,0.6
